"Species","Family","Order","BkL","BNL","BkD","BkW","TsL","WnL","SWL","KpD","TlL","HWI","Mass","Habitat","Hab.Dns","Migrt","TrphL","Trph.Nch","Life.stl","MinLat","MaxLat","CntLat","CntLon","RngSz"
"Gallicolumba rubescens","Columbidae","Columbiformes",17.2,9.9,3.8,2.9,28.8,120.6,88.2,32,65.8,26.7,60,"Shrubland",1,1,"Herbivore","Granivore","In",-9.44,-7.9,-8.14,-140.34,9.82
"Sporophila hypochroma","Emberizidae","Passeriformes",9.2,5.8,5.3,4.6,12.3,53,40.6,12.4,42,23.4,9.7,"Grassland",3,2,"Herbivore","Granivore","In",-33.78,-23.46,-28.65,-58.36,200480.73
"Lanius mackinnoni","Laniidae","Passeriformes",20.2,11.6,8.6,7.2,25.1,85,70,14.9,98.8,17.6,34.3,"Woodland",3,1,"Carnivore","Invertivore","In",-9.66,7.55,-0.64,22.18,1193617.21
"Casiornis fuscus","Tyrannidae","Passeriformes",16.2,10.6,5,5.6,19.6,75.6,64.7,9.8,72.8,13.4,19.5,"Woodland",2,1,"Carnivore","Invertivore","In",-15.81,-0.58,-7.54,-44.78,2107102.83
"Luscinia calliope","Muscicapidae","Passeriformes",16.2,8.9,3.7,3.4,28.8,78.2,59.8,17.7,63.4,22.8,18.5,"Shrubland",2,3,"Carnivore","Invertivore","Tr",32.23,70.06,57.27,112.34,10841460.62
"Platyrinchus platyrhynchos","Tyrannidae","Passeriformes",13.6,7.3,3.9,8.9,13.3,62.3,44.6,17.3,32,27.9,12,"Forest",1,1,"Carnivore","Invertivore","In",-15.89,7.67,-3.28,-62.54,5529652.29
"Calyptomena hosii","Eurylaimidae","Passeriformes",17.6,10.6,7.8,7.8,26.2,120.2,97.2,21.3,63,17.9,92,"Forest",2,1,"Herbivore","Frugivore","In",-3.35,6.54,2.39,115.31,185043.18
"Elaenia dayi","Tyrannidae","Passeriformes",16.9,8.9,5.4,5.8,27.6,97.2,85.2,12.1,97.8,12.4,34.5,"Forest",2,1,"Carnivore","Invertivore","In",3.17,5.91,4.97,-63.07,26627.09
"Sporophila corvina","Emberizidae","Passeriformes",10.7,7,7.3,5.3,17.3,52.7,44.4,9.6,42.7,17.8,10.6,"Human Modified",2,2,"Herbivore","Granivore","In",-4.8,17.98,9.56,-83.61,481827.83
"Amazona versicolor","Psittacidae","Psittaciformes",38.8,30.7,32.4,18.6,26.3,256.6,174.5,79.8,167.2,31.4,676,"Forest",1,1,"Herbivore","Omnivore","In",13.79,13.99,13.88,-60.97,142.22
"Phalacrocorax fuscescens","Phalacrocoracidae","Suliformes",59.7,47.7,13.2,10.3,61.3,263.8,173.8,90,101.5,34.1,1515,"Marine",3,1,"Carnivore","Aquatic predator","Aq",-43.64,-31.77,-37.4,141.38,203014.55
"Alisterus amboinensis","Psittacidae","Psittaciformes",28.6,21.8,22,14.1,22.4,204.8,123.5,81.2,227.5,39.7,153,"Forest",1,1,"Herbivore","Omnivore","In",-4.43,2.23,-1.9,131.24,148979.73
"Icterus icterus","Icteridae","Passeriformes",30.6,23.5,8.5,6.4,30,112.6,94.5,18.1,98.1,16.1,60.9,"Forest",2,1,"Omnivore","Omnivore","In",5.75,12.63,9,-67.61,432348.96
"Stachyris striata","Timaliidae","Passeriformes",14.6,9,3.8,3.2,17.8,62.1,52.6,9.5,51.2,15.2,13.9,"Forest",1,1,"Carnivore","Invertivore","In",13.96,18.58,16.15,121.76,20400.67
"Geositta rufipennis","Furnariidae","Passeriformes",18.6,10,4,3.7,24,101.2,77.1,23.7,60.2,23.4,32.4,"Grassland",3,1,"Carnivore","Invertivore","Tr",-46.31,-16.1,-30.51,-68.91,757788
"Hirundo rufigula","Hirundinidae","Passeriformes",8.1,4,2.6,3,10.7,96.4,51.6,44.8,54.6,46.5,15.9,"Grassland",3,2,"Carnivore","Invertivore","Ar",-14.78,-2.31,-9.52,20.48,1298041.09
"Aethopyga mystacalis","Nectariniidae","Passeriformes",16.5,11.5,2.9,3,13.5,49.1,40.4,7.7,40.6,15.9,6,"Forest",1,1,"Omnivore","Nectarivore","In",-8.78,8.52,0.53,109.91,718600.29
"Gracula religiosa","Sturnidae","Passeriformes",32.8,20.3,12,9.4,36.5,163.9,123.1,40.8,77.7,25,192,"Forest",1,1,"Herbivore","Frugivore","In",-10.32,29.93,12.13,100.97,4058797.99
"Corvus levaillantii","Corvidae","Passeriformes",60.5,40.1,21.8,17.6,55.8,308.4,200.7,108.5,174.4,35,513.1,"Woodland",2,1,"Omnivore","Omnivore","Gn",5.92,33.6,22.96,87.6,4386761.18
"Hirundo megaensis","Hirundinidae","Passeriformes",10.1,5,2,3.6,9.4,101.8,47.4,54.4,54,53.5,11,"Shrubland",3,1,"Carnivore","Invertivore","Ar",3.66,5.08,4.33,38.49,14837.09
"Muscisaxicola maclovianus","Tyrannidae","Passeriformes",17.5,9,3.5,3.5,28.9,104.1,68.8,35.3,65.8,33.9,23.8,"Grassland",3,3,"Carnivore","Invertivore","Tr",-55.98,-37.58,-47.22,-71.7,488724.37
"Eudromias morinellus","Charadriidae","Charadriiformes",18.8,11.2,4.3,3.5,35.6,147.4,64.5,81.8,66.3,55.9,108.2,"Grassland",3,3,"Carnivore","Invertivore","Tr",41.9,76.52,65.85,83.07,3830439.01
"Cyornis sanfordi","Muscicapidae","Passeriformes",16.7,9.9,4.2,5.3,17.5,83.2,68.4,14.9,65.2,17.9,20.5,"Forest",1,1,"Carnivore","Invertivore","In",0.08,1.5,0.68,123.77,2049.13
"Sphyrapicus ruber","Picidae","Piciformes",25.8,21.5,7.1,8,21.6,126.6,88.2,38.4,80.8,30.4,54.8,"Woodland",2,2,"Carnivore","Invertivore","In",32.77,61.35,50.74,-126.41,1000123.48
"Larus ichthyaetus","Laridae","Charadriiformes",73,27.4,19.5,8.9,71.5,470.8,210.2,255.2,172.8,54.7,1378.8,"Coastal",3,3,"Omnivore","Omnivore","Gn",41.47,53.6,48.59,67.41,739530.35
"Platysteira jamesoni","Platysteiridae","Passeriformes",15.2,7.8,3.5,5.8,18.1,54,49.3,4.7,24,8.8,11,"Forest",1,1,"Carnivore","Invertivore","In",-3.75,4.63,1.21,28.39,559075.89
"Psalidoprocne fuliginosa","Hirundinidae","Passeriformes",9.8,4.2,2.3,2.5,9.6,99.4,51.5,48.3,57.2,48.4,12.2,"Forest",1,2,"Carnivore","Invertivore","Ar",3.21,4.45,3.84,8.9,3496.28
