"T","RH","AH","CO","NOx","NO2","O3"
13.6,48.9,0.7578,2.6,166,113,1268
13.3,47.7,0.7255,2,103,92,972
11.9,54,0.7502,2.2,131,114,1074
11,60,0.7867,2.2,172,122,1203
11.2,59.6,0.7888,1.6,131,116,1110
11.2,59.2,0.7848,1.2,89,96,949
11.3,56.8,0.7603,1.2,62,77,733
10.7,60,0.7702,1,62,76,730
10.7,59.7,0.7648,0.9,45,60,620
10.3,60.2,0.7517,0.6,-200,-200,501
10.1,60.5,0.7465,-200,21,34,445
11,56.2,0.7366,0.7,16,28,422
10.5,58.1,0.7353,0.7,34,48,472
10.2,59.6,0.7417,1.1,98,82,730
10.8,57.4,0.7408,2,174,112,1102
10.5,60.6,0.7691,2.2,129,101,1028
10.8,58.4,0.7552,1.7,112,98,860
10.5,57.9,0.7352,1.5,95,92,671
9.5,66.8,0.7951,1.6,104,95,664
8.3,76.4,0.8393,1.9,146,112,799
8,81.1,0.8736,2.9,207,128,1037
8.3,79.8,0.8778,2.2,184,126,946
9.7,71.2,0.8569,2.2,193,131,957
9.8,67.6,0.8185,2.9,243,135,1104
10.3,64.2,0.8065,4.8,281,151,1409
9.7,69.3,0.8319,6.9,383,172,1704
9.6,67.8,0.8133,6.1,351,165,1654
9.1,64,0.7419,3.9,240,136,1285
8.2,63.4,0.6905,1.5,94,85,821
8.2,60.8,0.6657,1,47,53,552
8.3,58.5,0.6438,1.7,122,97,816
7.7,59.7,0.6308,1.9,133,110,832
7.1,61.8,0.6276,1.4,82,91,692
7,62.3,0.6261,0.8,-200,-200,512
6.1,65.9,0.6248,-200,21,32,384
6.3,65,0.6233,0.6,30,44,394
6.8,62.9,0.6234,0.8,56,71,487
6.4,65.1,0.6316,1.4,109,104,748
7.3,63.1,0.6499,4.4,307,141,1400
9.2,56.2,0.6561,-200,-200,-200,1588
13.2,41.7,0.632,3.1,187,122,1237
14.3,38.4,0.6243,2.7,216,143,1167
15,36.5,0.6195,2.1,143,113,959
16.1,34.5,0.6262,2.5,160,116,983
16.3,35.7,0.656,2.7,163,123,1061
15.8,37,0.661,2.9,190,126,1139
15.9,37.2,0.6657,2.8,178,120,1112
16.9,34.3,0.6549,2.4,150,119,994
15.1,39.6,0.6766,3.9,206,149,1410
14.4,43.4,0.7084,3.7,202,145,1448
12.9,50.5,0.7478,6.6,340,170,1887
12.1,53.3,0.7536,4.4,274,149,1627
11,59.1,0.774,3.5,253,139,1491
9.7,64.6,0.7771,5.4,300,134,1657
9.5,64.1,0.7597,2.7,193,113,1285
9.1,63.9,0.7423,1.9,139,97,1144
8.8,63.9,0.7256,1.6,83,82,1043
7.8,67.5,0.7173,1.7,-200,-200,996
7,71.1,0.7158,-200,109,83,992
8.3,63.6,0.6982,1,62,65,819
7.2,67.5,0.6887,1.2,53,60,835
6.3,71.9,0.6932,1.5,139,77,940
6.5,71.6,0.6945,2.7,256,96,1192
9.6,59.7,0.7124,3.7,295,119,1411
12.4,51.2,0.7335,3.2,250,126,1465
15.6,42.2,0.7451,4.1,296,158,1583
18.4,33.8,0.709,3.6,239,161,1387
19.4,31.3,0.695,2.8,153,124,1101
18,34.8,0.7127,2,118,102,850
18.4,33.6,0.7042,2,119,116,947
17.6,35.1,0.7012,2.5,138,124,1078
16.7,37.8,0.7117,2.3,148,125,1084
16.1,41,0.7451,3.2,227,148,1395
15.8,42.4,0.7569,4.2,277,165,1612
15.7,44.1,0.7786,4.2,279,161,1697
15.3,46.8,0.8091,4.2,283,159,1886
14.6,48.6,0.806,3.1,214,143,1624
14.7,49.3,0.8193,2.6,172,130,1536
13.9,53.6,0.8498,2.9,190,129,1535
14.6,51.5,0.8536,2.8,174,119,1530
12.5,58.9,0.8537,2.5,128,104,1337
11.6,63.4,0.8674,2.4,-200,-200,1278
12.1,61.1,0.8603,-200,70,82,1051
11.5,63.1,0.8533,1.2,53,70,929
11.6,62.2,0.8473,1,44,63,872
10.4,67.6,0.853,0.9,74,67,853
11.6,62.7,0.853,1.4,101,84,959
12.4,60,0.8627,1.6,118,83,1093
14.5,53.1,0.8728,2.2,144,98,1225
16.9,46.1,0.8789,2.8,176,114,1355
19.3,38.3,0.8474,2.8,161,119,1262
21.2,31.4,0.7812,2,113,104,980
21.4,30.2,0.7616,1.8,103,102,872
21.9,29,0.7525,1.9,112,107,900
22.2,28.4,0.7516,3,170,129,1099
21.3,30.8,0.7696,2.9,180,128,1206
19.7,36.7,0.8307,2.5,160,121,1262
18.4,41.7,0.8732,4.6,261,157,1698
17.6,46.1,0.921,5.9,325,173,1905
16.7,49.6,0.932,3.4,217,146,1648
16.3,51,0.9341,2.1,146,121,1423
14.7,55.9,0.9314,2.2,152,119,1349
14.8,54.7,0.9164,1.8,104,99,1250
14,57,0.9094,1.8,106,93,1174
13.4,61.3,0.9361,1.8,108,88,1149
12.6,63.5,0.923,1.1,-200,-200,1021
12.3,65.4,0.9351,-200,66,71,1013
11.9,67.4,0.9375,1,88,74,1010
11.4,70.5,0.9475,1.4,138,80,1083
11.3,70.2,0.9401,2.2,228,89,1235
