"lon","lat","IFd","BIO1","BIO2","BIO3","BIO4","BIO5","BIO6","BIO7","BIO8","BIO9","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19"
-71.5,-33.5,43,152,116.8,54.5,3501.9,272.6,58.7,213.9,111.8,195.3,197.4,107.1,498.7,133.5,1.6,106.7,330.2,8.7,9,317.3
-70.5,-33.5,45,91.8,144,55.9,4116.6,234.4,-21.1,255.5,45.2,141.7,144.3,38.9,496.5,114.6,3.6,94.5,300.7,15.3,15.5,286
-69.5,-33.5,43,42.6,150.5,55,4502,187.5,-84.2,271.7,21.8,66.9,99.8,-15.2,390.3,66.7,14.2,49.7,169.7,49.3,59.1,145.8
-68.5,-33.5,55,149.6,161.2,49.8,5663,311.7,-8.9,320.6,216,78.6,220.3,76,263.9,41.7,6.2,58.1,118.7,24.3,116.5,24.6
-67.5,-33.5,59,170.5,158.1,47.7,5863.1,335.9,8.2,327.8,243,94.1,243,94.1,293,50.3,5.3,64.3,140.5,21.5,140.5,21.5
-66.5,-33.5,61,165.3,153.1,48.5,5533,322.4,9.9,312.4,235,92.7,235,92.7,485.9,85.7,8.1,68.9,236.4,25.9,236.4,25.9
-65.5,-33.5,68,157.4,153.6,50.2,5225.9,308.1,4.5,303.6,219,88.1,223.2,88.1,623,103.8,11.4,63.1,279.4,36.8,277.1,36.8
-64.5,-33.5,73,167.1,140.2,49,4989.1,310.7,28,282.7,221.1,101.1,229.5,101.1,755,118.9,13.6,61.2,332.4,46.2,314.1,46.2
-63.5,-33.5,70,170.4,135.3,48,5009.9,316.1,36.9,279.1,224.8,104.9,233.5,104.9,797.6,119.2,15.8,57.9,331.7,51.3,315.2,51.3
-62.5,-33.5,73,166.3,136.4,48.4,5001.4,315.8,37.2,278.6,221,102,230.5,102,815,109.1,19.7,48.7,307.4,68.1,300.8,68.1
-61.5,-33.5,77,164.1,133.5,48.8,4849.4,311.3,40.4,270.9,222.4,102.4,226.9,102.4,887.3,119.6,29.6,42.7,328,95.1,305,95.1
-60.5,-33.5,90,167.1,129.4,48.6,4698.9,310.7,46.9,263.8,222.3,107.8,227.8,107.8,939.6,126.3,37,35.4,323.7,120.9,293.6,120.9
-59.5,-33.5,97,172.1,121.3,47,4576,312.9,57.3,255.6,228.6,119,230.8,114.5,1007.3,122.6,44.6,28.3,324.9,163.1,284.8,165.3
-57.5,-33.5,95,173.9,109.5,44.9,4599.9,306.3,64.8,241.5,229.4,117.6,234.4,116.1,1151.9,124.8,76.4,15.4,344.4,235.9,312.5,236.3
-56.5,-33.5,88,172.9,113.8,45.3,4595.3,310,61.3,248.7,227.6,148.1,233.3,115.9,1259.3,125.9,90.7,10.2,359.6,288.9,329.1,292.4
-55.5,-33.5,87,169.6,117.6,47.1,4446.8,306.6,59.5,247.1,184.2,213.7,228.1,114.3,1264.3,120.4,91,7.6,336.4,289.3,295.9,322.3
-54.5,-33.5,87,170.3,115.4,48.5,4135.2,300.6,65.4,235.2,131.8,211.9,224,118.6,1229.6,117.1,85.2,9,326.1,276.6,286.7,324.3
-53.5,-33.5,89,170.3,98,47.5,3599.2,283.7,79.6,204.1,126.6,176.8,214.1,125.4,1180.9,112.4,87.5,7.4,315.2,275.7,294.1,312.4
18.5,-33.5,57,171.3,113.1,53.7,3421.4,280.7,72.1,208.6,133.2,212.6,212.9,126.6,516.3,83.8,12.2,61.6,238.5,44.4,45.8,235.5
