"lon","lat","PrimLand","pasture","cropland","urban","Hmpop","Dep"
-63.5,-54.5,0,0,0,0,5.32,0
-67.5,-50.5,0,0,0,0,0.31,0
-65.5,-48.5,0,0,0,0,1.17,0
-66.5,-46.5,0,0.01,0,0,1.17,1
-74.5,-41.5,0.01,0,0,0,28.56,1
-71.5,-33.5,0.21,0.28,0.13,0.01,149.98,1
-70.5,-33.5,0.56,0.27,0.08,0.07,545.72,1
-69.5,-33.5,0.66,0.1,0.02,0,11.34,0
-68.5,-33.5,0.56,0.11,0,0.01,21.4,0
-67.5,-33.5,0.54,0.12,0,0,2.46,0
-66.5,-33.5,0.4,0.24,0.05,0,10.16,1
-65.5,-33.5,0.33,0.25,0.19,0,7.58,0
-64.5,-33.5,0.14,0.31,0.53,0,12.66,0
-63.5,-33.5,0.16,0.31,0.51,0,7.9,1
-62.5,-33.5,0.11,0.32,0.53,0,11.46,1
-61.5,-33.5,0.07,0.45,0.4,0,23.64,1
-60.5,-33.5,0.05,0.5,0.29,0.01,123.94,1
-59.5,-33.5,0.29,0.48,0.16,0,17.24,1
-58.5,-33.5,0.28,0.4,0.18,0,11.41,1
-57.5,-33.5,0.06,0.59,0.14,0,9.6,1
-56.5,-33.5,0.02,0.74,0.07,0,6.38,1
-55.5,-33.5,0.04,0.76,0.03,0,6.15,0
-54.5,-33.5,0.06,0.72,0.04,0,6.25,0
-53.5,-33.5,0.07,0.45,0.06,0,8.72,0
-52.5,-33.5,0.02,0.03,0.02,0,2.85,0
18.5,-33.5,0,0.32,0.25,0.04,232.4,0
19.5,-33.5,0,0.76,0.04,0,33.9,0
20.5,-33.5,0,0.86,0.03,0,4.67,0
21.5,-33.5,0,0.85,0.01,0,2.71,0
22.5,-33.5,0,0.73,0.02,0,18.94,0
23.5,-33.5,0,0.69,0.02,0,4.64,0
24.5,-33.5,0,0.75,0.02,0,4.17,0
-72.5,-34.5,0.03,0.01,0.01,0,17.86,1
-71.5,-34.5,0.34,0.38,0.17,0.01,34.64,0
-70.5,-34.5,0.64,0.25,0.07,0.01,46.23,0
-69.5,-34.5,0.59,0.11,0,0,3.75,0
-68.5,-34.5,0.58,0.1,0.01,0,4.82,0
-67.5,-34.5,0.56,0.11,0,0,4.16,0
-66.5,-34.5,0.44,0.22,0.02,0,7.35,0
-65.5,-34.5,0.39,0.26,0.07,0,5.27,1
-64.5,-34.5,0.26,0.34,0.39,0,4.18,1
-63.5,-34.5,0.23,0.33,0.42,0,3.71,1
-62.5,-34.5,0.16,0.44,0.39,0,7.67,1
-61.5,-34.5,0.1,0.43,0.38,0,13.85,1
-60.5,-34.5,0.01,0.49,0.39,0,20.87,1
-59.5,-34.5,0.01,0.46,0.41,0.01,43.74,1
-58.5,-34.5,0.02,0.26,0.2,0.18,1726.18,1
-57.5,-34.5,0.08,0.26,0.11,0.01,69.4,1
-56.5,-34.5,0.07,0.38,0.12,0.03,247.61,1
-55.5,-34.5,0.07,0.46,0.11,0.01,44.38,1
-54.5,-34.5,0.05,0.54,0.03,0,16.28,0
-53.5,-34.5,0.03,0.08,0.01,0,6.81,0
18.5,-34.5,0,0.06,0,0.01,742.91,0
19.5,-34.5,0,0.34,0.13,0,26,0
20.5,-34.5,0,0.29,0.17,0,8.85,0
21.5,-34.5,0,0.26,0.08,0,9.06,0
22.5,-34.5,0,0.03,0.01,0,146.8,0
23.5,-34.5,0,0.01,0,0,102.22,0
24.5,-34.5,0,0.04,0.02,0,50.53,0
-72.5,-35.5,0.29,0.12,0.06,0,25.26,1
-71.5,-35.5,0.31,0.37,0.19,0.01,50.38,1
-70.5,-35.5,0.61,0.25,0.01,0,13.08,1
-69.5,-35.5,0.49,0.12,0.03,0,1.38,0
-68.5,-35.5,0.59,0.1,0,0,3.86,0
-67.5,-35.5,0.64,0.09,0,0,4.38,0
-66.5,-35.5,0.59,0.15,0,0,1.72,0
-65.5,-35.5,0.41,0.26,0.01,0,0.76,0
-64.5,-35.5,0.19,0.23,0.32,0,3.3,1
-63.5,-35.5,0.07,0.29,0.53,0,8.63,1
-62.5,-35.5,0.23,0.33,0.43,0,5.19,1
-61.5,-35.5,0.14,0.38,0.4,0,8.67,1
-60.5,-35.5,0.05,0.42,0.45,0,10.17,1
-59.5,-35.5,0.11,0.46,0.39,0,11.02,1
-58.5,-35.5,0.17,0.39,0.39,0,36.23,1
-57.5,-35.5,0.15,0.24,0.29,0,25.52,1
-73.5,-36.5,0.02,0.01,0,0.01,1010.13,1
-72.5,-36.5,0.07,0.24,0.13,0.01,66.68,1
-71.5,-36.5,0.14,0.26,0.08,0,25.55,0
-70.5,-36.5,0.58,0.24,0.08,0,2.83,1
-69.5,-36.5,0.54,0.1,0.07,0,0.64,0
-68.5,-36.5,0.61,0.12,0,0,0.51,0
-67.5,-36.5,0.6,0.18,0,0,0.26,0
-66.5,-36.5,0.56,0.2,0,0,0.24,0
-65.5,-36.5,0.4,0.27,0,0,1.03,0
-64.5,-36.5,0.2,0.25,0.22,0,10.28,1
-63.5,-36.5,0.09,0.31,0.5,0,4.92,1
-62.5,-36.5,0.11,0.41,0.42,0,5.26,1
-61.5,-36.5,0.12,0.45,0.37,0,6.86,1
-60.5,-36.5,0.08,0.49,0.41,0,8.22,1
-59.5,-36.5,0.13,0.41,0.44,0,7.13,1
-58.5,-36.5,0.15,0.33,0.5,0,2.57,1
-57.5,-36.5,0.18,0.38,0.35,0,5.03,1
-56.5,-36.5,0.05,0.1,0.05,0,37.79,1
-73.5,-37.5,0.16,0.04,0.02,0,45.87,0
-72.5,-37.5,0.11,0.19,0.11,0.01,41.41,0
-71.5,-37.5,0.29,0.18,0.04,0,8.57,0
-70.5,-37.5,0.64,0.26,0,0,1.4,1
-69.5,-37.5,0.66,0.22,0,0,1.16,0
-68.5,-37.5,0.62,0.21,0,0,2.73,0
-67.5,-37.5,0.6,0.2,0,0,2.19,0
-66.5,-37.5,0.6,0.18,0,0,0.06,0
-65.5,-37.5,0.46,0.25,0.01,0,0.8,0
-64.5,-37.5,0.22,0.24,0.31,0,1.24,0
-63.5,-37.5,0.08,0.32,0.54,0,2.59,1
-62.5,-37.5,0.05,0.49,0.43,0,4.37,1
-61.5,-37.5,0.04,0.58,0.33,0,4.53,1
-60.5,-37.5,0.06,0.57,0.35,0,5.5,1
-59.5,-37.5,0.07,0.53,0.36,0,13.11,1
-58.5,-37.5,0.11,0.48,0.39,0,8.84,1
-57.5,-37.5,0.15,0.34,0.29,0.01,53,1
-56.5,-37.5,0.01,0.02,0.01,0,106.39,1
-73.5,-38.5,0.09,0.05,0.04,0,15.11,1
-72.5,-38.5,0.02,0.13,0.19,0.01,49.6,0
-71.5,-38.5,0.3,0.11,0.03,0,9.32,0
-70.5,-38.5,0.63,0.27,0,0,1.65,0
-69.5,-38.5,0.65,0.25,0,0,10.65,0
-68.5,-38.5,0.62,0.27,0,0.01,23.09,0
-67.5,-38.5,0.53,0.42,0,0,16.11,0
-66.5,-38.5,0.58,0.29,0,0,4.05,0
-65.5,-38.5,0.51,0.29,0,0,0.33,0
-64.5,-38.5,0.23,0.29,0.26,0,0.4,0
-63.5,-38.5,0.06,0.39,0.41,0,1.36,1
-62.5,-38.5,0.05,0.53,0.32,0.01,27.81,1
-61.5,-38.5,0.06,0.52,0.39,0,16.23,1
-60.5,-38.5,0.04,0.42,0.41,0,6.79,1
-59.5,-38.5,0.04,0.35,0.34,0,10.12,1
-58.5,-38.5,0.04,0.26,0.2,0,10.92,1
-57.5,-38.5,0,0.05,0.04,0.01,220.79,1
-73.5,-39.5,0.09,0.02,0.02,0,35.36,1
-72.5,-39.5,0.22,0.04,0.1,0,19.21,0
-71.5,-39.5,0.44,0.08,0.01,0,6.83,0
-70.5,-39.5,0.62,0.27,0,0,1.35,0
-69.5,-39.5,0.52,0.37,0,0,3.74,0
-68.5,-39.5,0.34,0.6,0,0,5.9,0
-67.5,-39.5,0.39,0.59,0,0,2.43,0
-66.5,-39.5,0.49,0.5,0,0,2.3,0
-65.5,-39.5,0.47,0.5,0,0,1.44,0
-64.5,-39.5,0.42,0.56,0,0,0.89,0
-63.5,-39.5,0.2,0.68,0.05,0,1.37,0
-62.5,-39.5,0.05,0.57,0.07,0,2.44,1
-61.5,-39.5,0,0,0,0,14.26,1
-73.5,-40.5,0.15,0.06,0.1,0,37.35,1
-72.5,-40.5,0.15,0.06,0.14,0,16.14,0
-71.5,-40.5,0.54,0.11,0.01,0,5.13,0
-70.5,-40.5,0.47,0.47,0,0,1.48,0
-69.5,-40.5,0.28,0.69,0,0,0.39,0
-68.5,-40.5,0.28,0.69,0,0,0.42,0
-67.5,-40.5,0.31,0.67,0,0,0.15,0
-66.5,-40.5,0.34,0.64,0,0,0.23,0
-65.5,-40.5,0.47,0.48,0,0,1.34,0
-64.5,-40.5,0.35,0.52,0,0,2.61,1
-63.5,-40.5,0.19,0.72,0.03,0,3.4,1
-62.5,-40.5,0.05,0.44,0.07,0,2.24,1
-73.5,-41.5,0.11,0.04,0.11,0,26.93,1
-72.5,-41.5,0.26,0.04,0.01,0,22.78,0
-71.5,-41.5,0.42,0.27,0.01,0,14.23,0
-70.5,-41.5,0.22,0.75,0,0,0.4,0
-69.5,-41.5,0.2,0.77,0,0,0.44,0
-68.5,-41.5,0.21,0.77,0,0,0.47,0
-67.5,-41.5,0.2,0.77,0,0,0.15,0
-66.5,-41.5,0.29,0.69,0,0,0.23,0
-65.5,-41.5,0.33,0.56,0,0,1.37,0
-64.5,-41.5,0,0,0,0,5.72,1
-63.5,-41.5,0.05,0.09,0.01,0,5.72,1
-62.5,-41.5,0,0.01,0.01,0,4.86,1
-74.5,-42.5,0.06,0,0,0,15.16,1
-73.5,-42.5,0.15,0.02,0.02,0,22.97,1
-72.5,-42.5,0.23,0.09,0,0,1.92,0
-71.5,-42.5,0.35,0.39,0,0,2.11,0
-70.5,-42.5,0.15,0.82,0,0,1.07,0
-69.5,-42.5,0.11,0.86,0,0,0.48,0
-68.5,-42.5,0.11,0.86,0,0,0.1,0
-67.5,-42.5,0.08,0.89,0,0,0.11,0
-66.5,-42.5,0.2,0.77,0,0,0.19,0
-65.5,-42.5,0.16,0.81,0,0,5.8,0
-64.5,-42.5,0.08,0.29,0,0,8.56,0
-74.5,-43.5,0.06,0.01,0,0,6.9,1
-73.5,-43.5,0.08,0.01,0,0,5.09,1
-72.5,-43.5,0.32,0.09,0,0,0.91,0
-71.5,-43.5,0.37,0.36,0,0,2.32,0
-70.5,-43.5,0.1,0.87,0,0,0.6,0
-69.5,-43.5,0.13,0.84,0,0,0.16,0
-68.5,-43.5,0.11,0.86,0,0,0.09,0
-67.5,-43.5,0.12,0.85,0,0,0.11,0
-66.5,-43.5,0.1,0.86,0,0,0.51,0
-65.5,-43.5,0.1,0.7,0,0,8.65,0
-64.5,-43.5,0.02,0.06,0,0,28.6,0
-74.5,-44.5,0.08,0.03,0,0,0.68,1
-73.5,-44.5,0.15,0.05,0,0,0.84,1
-72.5,-44.5,0.33,0.08,0,0,0.83,0
-71.5,-44.5,0.29,0.39,0.01,0,0.44,0
-70.5,-44.5,0.16,0.81,0,0,0.34,0
-69.5,-44.5,0.14,0.83,0,0,0.29,0
-68.5,-44.5,0.16,0.81,0,0,1.38,0
-67.5,-44.5,0.18,0.79,0,0,3.03,0
-66.5,-44.5,0.07,0.9,0,0,0.09,0
-65.5,-44.5,0.08,0.47,0,0,0.09,1
-74.5,-45.5,0.13,0.05,0,0,0.68,1
-73.5,-45.5,0.25,0.04,0,0,0.68,1
-72.5,-45.5,0.33,0.08,0,0,2.87,0
-71.5,-45.5,0.24,0.45,0,0,2.73,0
-70.5,-45.5,0.12,0.85,0,0,0.28,1
-69.5,-45.5,0.12,0.8,0,0,0.53,1
-68.5,-45.5,0.19,0.72,0,0,4.31,1
-67.5,-45.5,0.17,0.59,0,0,10.2,0
-66.5,-45.5,0.03,0.1,0,0,7.44,1
-65.5,-45.5,0,0,0,0,0.09,1
-74.5,-46.5,0.24,0.09,0,0,0.68,1
-73.5,-46.5,0.23,0.04,0,0,0.69,0
-72.5,-46.5,0.28,0.13,0,0,0.69,0
-71.5,-46.5,0.29,0.54,0,0,0.55,0
-70.5,-46.5,0.16,0.74,0,0,0.23,1
-69.5,-46.5,0.16,0.73,0,0,0.85,1
-68.5,-46.5,0.23,0.67,0,0,1.18,1
-67.5,-46.5,0.13,0.43,0,0,1.17,1
-74.5,-47.5,0.13,0.04,0,0,0.03,1
-73.5,-47.5,0.23,0.06,0,0,0.17,0
-72.5,-47.5,0.26,0.25,0.01,0,0.28,0
-71.5,-47.5,0.18,0.7,0,0,0.14,0
-70.5,-47.5,0.13,0.77,0,0,0.17,0
-69.5,-47.5,0.12,0.77,0,0,0.9,1
-68.5,-47.5,0.19,0.71,0,0,1.17,1
-67.5,-47.5,0.18,0.72,0,0,1.17,1
-66.5,-47.5,0.17,0.67,0,0,1.17,1
-65.5,-47.5,0.04,0.12,0,0,1.17,1
-74.5,-48.5,0.25,0.07,0,0,0.58,1
-73.5,-48.5,0.17,0.03,0,0,0.12,0
-72.5,-48.5,0.57,0.32,0,0,0.11,0
-71.5,-48.5,0.14,0.71,0,0,0.09,0
-70.5,-48.5,0.11,0.78,0,0,0.09,0
-69.5,-48.5,0.11,0.78,0,0,0.52,1
-68.5,-48.5,0.18,0.72,0,0,0.66,1
-67.5,-48.5,0.19,0.61,0,0,0.59,0
-66.5,-48.5,0.08,0.25,0,0,1.15,0
-74.5,-49.5,0.25,0.1,0,0,1.84,1
-73.5,-49.5,0.08,0.05,0,0,1.1,0
-72.5,-49.5,0.21,0.56,0,0,0.22,0
-71.5,-49.5,0.11,0.79,0,0,0.21,0
-70.5,-49.5,0.12,0.78,0,0,0.24,0
-69.5,-49.5,0.18,0.72,0,0,0.3,1
-68.5,-49.5,0.18,0.71,0,0,0.32,0
-67.5,-49.5,0.06,0.21,0,0,0.32,0
-74.5,-50.5,0.19,0.07,0,0,1.84,1
-73.5,-50.5,0.33,0.08,0,0,1.31,0
-72.5,-50.5,0.3,0.52,0,0,0.42,0
-71.5,-50.5,0.11,0.78,0,0,0.97,0
-70.5,-50.5,0.13,0.76,0,0,0.94,0
-69.5,-50.5,0.17,0.67,0,0,0.87,0
-68.5,-50.5,0.04,0.14,0,0,0.31,0
-74.5,-51.5,0.14,0.06,0,0,1.84,1
-73.5,-51.5,0.58,0.07,0,0,1.52,0
-72.5,-51.5,0.48,0.36,0.01,0,1.45,0
-71.5,-51.5,0.18,0.72,0,0,2.8,0
-70.5,-51.5,0.22,0.69,0,0,2.81,0
-69.5,-51.5,0.18,0.67,0,0,2.81,0
-68.5,-51.5,0.01,0.05,0,0,2.81,0
-73.5,-52.5,0.54,0.04,0,0,1.84,1
-72.5,-52.5,0.62,0.12,0,0,1.84,0
-71.5,-52.5,0.56,0.27,0,0,1.84,0
-70.5,-52.5,0.46,0.29,0,0,1.68,0
-69.5,-52.5,0.37,0.32,0,0,1.23,0
-68.5,-52.5,0.17,0.18,0,0,2.07,0
-73.5,-53.5,0.11,0.03,0,0,1.84,1
-72.5,-53.5,0.58,0.05,0,0,1.84,1
-71.5,-53.5,0.55,0.12,0,0,1.84,1
-70.5,-53.5,0.25,0.11,0,0,1.21,0
-69.5,-53.5,0.56,0.26,0,0,0.5,0
-68.5,-53.5,0.53,0.27,0,0,2.93,1
-67.5,-53.5,0.08,0.05,0,0,4.72,1
-71.5,-54.5,0.16,0.02,0,0,0.87,1
-70.5,-54.5,0.2,0.02,0,0,0.44,1
-69.5,-54.5,0.55,0.05,0,0,0.13,1
-68.5,-54.5,0.66,0.18,0,0,2.86,0
-67.5,-54.5,0.48,0.28,0,0,4.96,0
-66.5,-54.5,0.33,0.2,0,0,5.16,0
-65.5,-54.5,0.12,0.07,0,0,5.32,0
-64.5,-54.5,0.02,0.01,0,0,5.32,0
-70.5,-26.5,0.45,0.25,0,0,3.17,0
-69.5,-26.5,0.86,0.14,0,0,1.94,0
-68.5,-26.5,0.94,0.06,0,0,1.36,0
-67.5,-26.5,0.9,0.09,0,0,0.34,0
-66.5,-26.5,0.83,0.14,0,0,2.84,0
-65.5,-26.5,0.66,0.08,0.1,0.01,82.43,0
-52.5,-26.5,0.25,0.35,0.25,0,33.12,0
-51.5,-26.5,0.64,0.17,0.09,0,20.16,0
-50.5,-26.5,0.53,0.23,0.12,0,22.15,0
-49.5,-26.5,0.55,0.21,0.12,0.01,75.38,0
14.5,-26.5,0,0,0,0,243.36,0
15.5,-26.5,0.79,0.08,0,0,6.33,0
-71.5,-27.5,0.02,0.01,0,0,5.94,0
-70.5,-27.5,0.71,0.23,0,0,5.84,0
-69.5,-27.5,0.91,0.09,0,0,3.64,0
-68.5,-27.5,0.92,0.07,0,0,1.44,0
-67.5,-27.5,0.82,0.16,0,0,1.3,0
-66.5,-27.5,0.82,0.17,0,0,3.84,0
-51.5,-27.5,0.32,0.35,0.18,0,29.36,0
-50.5,-27.5,0.54,0.27,0.09,0,19.68,0
-49.5,-27.5,0.44,0.25,0.18,0,31.98,0
15.5,-27.5,0.4,0.13,0,0,15.66,0
16.5,-27.5,0.62,0.36,0,0,0.25,0
17.5,-27.5,0.47,0.51,0,0,0.29,0
18.5,-27.5,0.47,0.5,0,0,0.29,0
23.5,-27.5,0,0.81,0.01,0,11.49,0
24.5,-27.5,0,0.79,0.03,0,21.17,0
25.5,-27.5,0,0.65,0.28,0,14.58,0
26.5,-27.5,0,0.63,0.31,0,40.58,0
27.5,-27.5,0,0.61,0.35,0,17.89,0
28.5,-27.5,0,0.61,0.32,0,10.98,0
29.5,-27.5,0,0.5,0.36,0,15.1,0
30.5,-27.5,0,0.29,0.33,0.01,55.37,0
