"nspp","altmed","rangoalt","shannon","tempmin","precip"
46,310,399,0.93,5.2,128.1
36,713,39,1.42,1.6,156.4
46,606,1151,2.45,2.1,456
36,446,330,1.25,5.1,393.5
51,342,167,1.37,3.2,272.5
56,968,470,2.36,0.3,317.4
56,450,123,1.54,2.6,504.1
63,521,672,1.04,1.5,518.6
48,1017,247,1.79,-0.2,222.2
40,1444,352,1.7,-1.6,155.5
43,579,1134,1.69,6.6,354
64,497,562,1.53,4.7,192.9
54,76,221,2.76,5.3,529.9
43,718,151,0.4,0.3,145.8
46,873,89,0.41,0.4,122.3
51,172,410,1.51,4.8,750.3
69,608,411,1.2,2.2,420.5
39,709,131,0.39,0.6,140
53,665,421,1.31,5,369.7
44,973,198,1.28,-0.2,171.6
39,313,495,2.01,5.5,635
46,705,706,2.46,2.3,467
57,157,251,2.06,5.4,155
56,381,411,1.78,5.8,98.9
74,857,176,2.14,0.9,170.3
54,4,17,0.88,7.1,344.9
55,760,351,1.34,0.8,246.4
36,904,1032,1.96,2.8,599.3
64,185,440,1.8,4.3,539.4
62,484,460,1.79,4.3,315.9
60,934,173,1.8,-0.9,288.8
68,493,431,2.5,4.7,225.2
64,793,201,1.39,0.4,149
58,101,533,1.52,7.3,68
49,1616,396,1.88,-1.8,228
49,469,475,1.79,3.8,637.3
54,322,150,1.36,2.3,125.2
32,700,150,1.18,1.4,125.9
58,815,93,0.69,0.4,165.1
41,858,91,1.1,0.3,203.5
59,279,276,1.15,2.4,91.5
85,560,115,2.11,1.4,129.6
24,1799,704,1.05,0.3,386.1
68,505,651,1.87,4.8,240.3
34,899,285,1.22,2,215.7
55,972,1498,2.04,6.8,565.8
40,686,1130,2.1,3,561.8
46,163,286,1.64,6.5,131.3
71,836,241,1.94,0.8,189.4
56,1139,393,1.44,-0.2,171.1
61,989,254,2.07,0.4,196
56,1149,1384,1.95,4,268.9
70,162,167,1.91,5.3,237.7
59,1112,489,2.67,2.7,149.1
57,999,182,0.75,-0.7,151.3
52,719,312,1.49,2.3,131.8
55,581,536,1.59,0.6,201.6
37,189,642,1.82,5.1,580
40,1071,629,1.96,0.9,146.6
74,760,164,1.19,0.6,136.2
58,800,117,1.8,0.5,193.1
75,491,147,1.51,4.5,250.2
56,908,470,1.78,2,183.5
56,831,114,0.43,-0.3,152.4
61,362,158,1.3,1.6,105.2
41,1252,807,2.3,-0.1,204.8
35,323,399,1.39,4.7,351.1
57,447,99,1.47,3.3,224.6
47,1150,144,1.67,-1,147.6
45,756,679,2.12,1.4,302.7
68,914,129,1.81,-0.6,184.4
81,251,79,1.81,3.3,330.2
54,1022,334,2.27,2.1,141.4
48,1168,707,1.88,-0.5,178
54,683,204,0.81,1.9,109
32,1180,958,2.09,0.2,272.1
53,676,147,2.2,2.1,144.3
44,372,195,0.72,1.6,87.6
68,325,427,1.92,4.5,235.8
56,668,112,1.91,0.6,136.5
75,19,85,2,7.7,86.7
32,66,197,2.01,9.8,491
47,625,699,1.06,4.9,402.4
32,1195,624,2.15,-0.2,177.3
45,96,467,1.14,4.9,557.4
44,804,307,1.62,1.8,251.3
68,248,276,2.31,6.5,378.1
63,844,262,1.88,-0.5,173.7
44,99,177,1.48,6.9,346.4
46,1661,1155,1.87,0.2,213.9
48,119,443,2.04,5.8,667.7
64,1178,1065,1.85,0.1,206
62,22,65,2.04,8.7,380.6
63,191,611,1.6,4.6,136.8
31,195,767,2.09,5.5,149
54,701,94,1.47,0.4,141.1
54,331,805,1.98,3.7,585
65,735,595,2.58,1,289.9
49,393,141,1.23,3,256.2
57,119,433,1.98,5.2,684.1
61,817,349,1.64,1.8,142.5
70,591,447,2.05,2,200.1
44,1010,555,1.75,2.7,110.5
41,1106,255,1.7,0.4,201.5
57,1047,258,1.89,-0.7,223.7
39,1349,864,2.08,-1.4,381.1
61,461,802,1.56,3.7,429.9
49,611,454,1.76,3.7,313.1
82,497,150,1.99,2.1,144.4
37,123,177,0.65,6.8,383.2
61,887,128,1.6,-0.6,214.2
56,704,454,1.88,0.6,222.6
64,785,155,1.61,0.5,158.2
52,1632,406,1.28,-1.7,249.2
58,744,227,1.76,0.5,145
52,932,960,1.6,5.8,796.5
31,729,260,1.59,1.8,506
47,1112,982,1.19,1.8,360.9
62,736,400,1.72,2.7,118.2
94,49,89,2.06,7.1,307.2
63,703,44,1.54,1.8,149.8
62,736,216,1.75,0.5,197.4
59,603,551,2.13,3.3,606.7
60,802,456,2.14,3.8,281.5
39,244,321,1.72,2.8,88.5
65,471,184,1.26,2.4,196
45,231,1095,2,7.6,686.8
52,529,202,0.75,3.5,537.5
45,668,966,1.93,3.3,596.6
55,1099,309,2.53,-0.6,168.8
42,1158,432,0.52,-0.5,115.4
71,85,296,1.81,5.4,526.7
35,554,823,1.88,3,618
45,611,1012,2.36,2.3,520.7
63,95,573,1.6,7.6,349.4
57,609,614,2.18,1.1,396
40,1427,1437,1.93,0.7,517.9
44,741,135,1.1,0.3,147.7
44,701,201,1.06,1.3,126
42,656,917,1.39,4.2,544.1
54,382,567,1.86,5.8,81.3
55,1088,861,1.87,1.5,166.6
41,740,1044,2.26,4.1,574.5
56,1014,1774,2.01,6.8,356.5
58,536,345,1.57,2.1,93.1
42,518,915,1.73,3.6,756.5
92,270,71,1.56,4.9,232.5
70,492,352,1.81,2,202.1
65,1002,139,0.83,-0.6,171.7
81,383,169,1.82,4.6,232.6
64,655,253,1.53,0.9,156.3
78,341,182,1.82,4.3,352.8
